matchup_id,team_id,team,seed,next
1,1,UTSA,16,5-2
1,2,Alabama State,16,5-2
2,1,UAB,12,7-2
2,2,Clemson,12,7-2
3,1,VCU,11,25-2
3,2,USC,11,25-2
4,1,UNC Asheville,16,29-2
4,2,Arkansas-Little Rock,16,29-2
5,1,Ohio State,1,37-1
5,2,,,37-1
6,1,George Mason,8,37-2
6,2,Villanova,9,37-2
7,1,West Virginia,5,38-1
7,2,,,38-1
8,1,Kentucky,4,38-2
8,2,Princeton,13,38-2
9,1,Xavier,6,39-1
9,2,Marquette,11,39-1
10,1,Syracuse,3,39-2
10,2,Indiana State,14,39-2
11,1,Washington,7,40-1
11,2,Georgia,10,40-1
12,1,North Carolina,2,40-2
12,2,Long Island,15,40-2
13,1,Duke,1,41-1
13,2,Hampton,16,41-1
14,1,Michigan,8,41-2
14,2,Tennessee,9,41-2
15,1,Arizona,5,42-1
15,2,Memphis,12,42-1
16,1,Texas,4,42-2
16,2,Oakland,13,42-2
17,1,Cincinnati,6,43-1
17,2,Missouri,11,43-1
18,1,Connecticut,3,43-2
18,2,Bucknell,14,43-2
19,1,Temple,7,44-1
19,2,Penn State,10,44-1
20,1,San Diego State,2,44-2
20,2,Northern Colorado,15,44-2
21,1,Kansas,1,45-1
21,2,Boston University,16,45-1
22,1,UNLV,8,45-2
22,2,Illinois,9,45-2
23,1,Vanderbilt,5,46-1
23,2,Richmond,12,46-1
24,1,Louisville,4,46-2
24,2,Morehead State,13,46-2
25,1,Georgetown,6,47-1
25,2,,,47-1
26,1,Purdue,3,47-2
26,2,Saint Peter's,14,47-2
27,1,Texas A&M,7,48-1
27,2,Florida State,10,48-1
28,1,Notre Dame,2,48-2
28,2,Akron,15,48-2
29,1,Pittsburgh,1,49-1
29,2,,,49-1
30,1,Butler,8,49-2
30,2,Old Dominion,9,49-2
31,1,Kansas State,5,50-1
31,2,Utah State,12,50-1
32,1,Wisconsin,4,50-2
32,2,Belmont,13,50-2
33,1,St. John's,6,51-1
33,2,Gonzaga,11,51-1
34,1,BYU,3,51-2
34,2,Wofford,14,51-2
35,1,UCLA,7,52-1
35,2,Michigan State,10,52-1
36,1,Florida,2,52-2
36,2,UC Santa Barbara,15,52-2
37,1,,,53-1
37,2,,,53-1
38,1,,,53-2
38,2,,,53-2
39,1,,,54-1
39,2,,,54-1
40,1,,,54-2
40,2,,,54-2
41,1,,,55-1
41,2,,,55-1
42,1,,,55-2
42,2,,,55-2
43,1,,,56-1
43,2,,,56-1
44,1,,,56-2
44,2,,,56-2
45,1,,,57-1
45,2,,,57-1
46,1,,,57-2
46,2,,,57-2
47,1,,,58-1
47,2,,,58-1
48,1,,,58-2
48,2,,,58-2
49,1,,,59-1
49,2,,,59-1
50,1,,,59-2
50,2,,,59-2
51,1,,,60-1
51,2,,,60-1
52,1,,,60-2
52,2,,,60-2
53,1,,,61-1
53,2,,,61-1
54,1,,,61-2
54,2,,,61-2
55,1,,,62-1
55,2,,,62-1
56,1,,,62-2
56,2,,,62-2
57,1,,,63-1
57,2,,,63-1
58,1,,,63-2
58,2,,,63-2
59,1,,,64-1
59,2,,,64-1
60,1,,,64-2
60,2,,,64-2
61,1,,,65-1
61,2,,,65-1
62,1,,,65-2
62,2,,,65-2
63,1,,,66-1
63,2,,,66-1
64,1,,,66-2
64,2,,,66-2
65,1,,,67-1
65,2,,,67-1
66,1,,,67-2
66,2,,,67-2
67,1,,,
67,2,,,
